domain,mode,tone,reading_level,title,paragraph,style.sentence_length,style.figurative_language,style.concreteness,style.viewpoint,style.temporal_focus
humanities,narrative,plain,Grade8,A Day in the Library,"Last summer, I visited the old library in the center of town. It was the first time I went there by myself. The building was tall and had stone steps leading to its large wooden doors. Inside, it smelled of old books and clean paper. Sunlight shone through the high windows, making patterns on the floor. I walked slowly between the tall shelves, my fingers brushing against the spines of the books. Each one felt different, some smooth and some a little rough. I was looking for adventure stories. I found a book with a bright red cover and a picture of a dragon. I sat on a small chair in the corner and began to read. The story was about a young knight on a quest, which felt exciting and new. Hours passed, and I didn’t notice the time until the librarian had to remind me that the library was closing. As I left, I made a promise to return soon, because there were more stories to discover.",short,low,concrete,1st,past
humanities,expository,formal,Grade12,The Evolution of Language,"Language, in its evolving complexity, serves as the foundation of human communication and cultural expression. Over millennia, languages have transformed, borrowing and lending words, syntax, and phonetic nuances. This dynamic progression reflects not only the passage of time but the mutual influence of societies interacting, trading, and colliding. Modern linguistic studies examine how languages develop, sometimes rapidly in response to social changes or slowly in isolated communities. Take, for instance, the influence of digital communication on language evolution, where brevity and iconography, in the form of emojis, have begun to supplement traditional text. Such shifts illustrate the adaptability of language in the flux of technological advancement, allowing it to simultaneously maintain core linguistic structures while incorporating innovative elements. Linguists continue to analyze these trends, attempting to predict future transformations, which remain as unpredictable as the societies they emerge from. This perpetual dance of language illustrates its role as both the mirror and shaper of human thought and interaction.",mixed,medium,abstract,3rd,present
humanities,descriptive,technical,Undergraduate,Exploring Gothic Architecture,"Gothic architecture, characterized by its grandiose and vertical emphasis, represents a significant period in architectural history from the late medieval era, primarily seen in the cathedrals and churches scattered across Europe. Distinguished by pointed arches, ribbed vaults, and flying buttresses, this architectural style facilitates the construction of towering structures filled with light, exemplified by the extensive use of stained glass windows that both filter and reflect natural light within these edifices. Its aesthetic is further defined by ornate tracery, intricate stonework, and expansive facades adorned with sculptures and gargoyles, serving both decorative and functional purposes by channeling rainwater away from the structures. The structural innovations of Gothic architecture allow for the distribution of weight and the implementation of vast, uninterrupted interiors, creating a spiritual atmosphere aimed at elevating the observer's contemplation. This style's influence persists into contemporary designs, where its principles are often integrated to combine historical homage with modern engineering.",long,none,mixed,3rd,present
humanities,process_explanation,reflective,Graduate,Crafting an Historical Novel,"Writing a historical novel involves a meticulous process of weaving factual accuracy with imaginative storytelling; a dance that requires you to step carefully between documented history and fictional narrative. Begin by immersing yourself in the period of choice, comprehensively researching events, culture, and language, to create an authentic backdrop against which your characters will unfold their stories. As you delve into archives, letters, and records, a nuanced understanding of the past informs the creation of a rich tapestry where historical figures and fictional constructs coexist. Craft your plot with an awareness of historical constraints and possibilities, allowing the setting to guide, but not dominate, the narrative arc. Pay heed to dialogue, ensuring it resonates with the era, yet remains accessible to contemporary readers. This phase requires reflective consideration of how historical events shape character motivations and conflicts. The past, used deftly, becomes a lens through which modern themes are examined, creating a work that resonates beyond its historical confines.",long,medium,abstract,2nd,past
humanities,persuasive,conversational,Grade8,Why Reading Classics Matters,"Imagine walking into a room full of the greatest minds from the past. That’s what reading classic literature is like. These books are not just old stories; they are bridges to different times and places, filled with wisdom that still rings true today. When you read a classic, you learn about different cultures and ways of thinking. You explore big ideas about life, choices, and what it means to be human. Think of them as time machines, offering you the chance to see the world through the eyes of another era. Classics challenge you to think more deeply, to ask questions, and sometimes to feel uncomfortable as you face big truths. They have survived the test of time because they speak to human experiences that never change. So, pick up a classic. Let its pages bring you into conversations that have been ongoing for centuries. The next time someone asks you if classic literature is worth reading, you’ll know that the answer is a spirited yes.",short,high,mixed,1st,present
humanities,narrative,formal,Grade12,The Lost Manuscript,"In the quiet, sprawling halls of the old university library, Amelia discovered a manuscript that appeared untouched by time. It lay atop a wooden desk beneath layers of dust, as if waiting patiently for someone to unveil its secrets. Her curiosity led her to browse the delicate pages, each filled with the meticulous handwriting of an anonymous scholar. The text, a philosophical treatise on the nature of memory, contained passages that resonated with her own studies. Amelia found herself captivated by the intricacies of thought and the poetically structured arguments. She shared her discovery with her mentor, Professor Collins, who agreed that the manuscript held significant academic value. Together, they embarked on the task of deciphering the faded text, translating its knowledge for contemporary scholars. Their work turned into a journey through the thoughts of its creator, bridging centuries with newfound insights and understanding. The manuscript, once forgotten, was reborn, offering revelations not only about memory but also about the persistence of human inquiry across time.",mixed,low,concrete,3rd,past
humanities,expository,technical,Undergraduate,Understanding Literary Theory,"Literary theory encompasses a diverse range of methodologies and ideologies employed to analyze and interpret texts, reflecting on the broad spectrum of human experience and communication. Rooted in philosophy, linguistics, and social sciences, literary theory offers frameworks for comprehending the myriad ways texts can be constructed, understood, and valued, with each theoretical approach highlighting different elements of a text matrix. Structuralism, for instance, considers underlying structures such as language and narrative forms that govern text creation and reception, while post-structuralism pushes these boundaries further by questioning the stability of meaning itself. Marxist literary theory examines texts within the context of class struggle, power dynamics, and historical materialism, whereas feminist theory focuses on gender dynamics and power structures. Each theoretical lens sheds light on different facets of the text, contributing to a multifaceted understanding of literature's role in reflecting and shaping reality. These frameworks, crucial for scholarly inquiry, remain dynamic as they evolve with new philosophical insights and cultural shifts.",long,none,abstract,3rd,present
humanities,descriptive,playful,Graduate,The Enchanting World of Fairytales,"Entering the world of fairytales is akin to tumbling down a rabbit hole into a realm where logic bends, and possibilities stretch beyond the ordinary confines of reality. Here, the air shimmers with the whispers of spells, as castles climb the sky and forests teem with talking creatures that twinkle with wisdom and mischief. Deeper still, you encounter towering giants with booming laughter that shakes the very ground and encounter rivers that sing in harmony with the winds above, weaving tapestries of sound that cradle the listener in ancient venerations. In this whimsical universe, bravery is tested with enchanted mirrors that reflect truth or thorns that encircle sleeping princesses in their thorny embrace. The very soil pulses with stories untold, and stars above guide lost travelers with reassurances spoken in the silver tongue of night’s secrets. In this boundless canvas of imagination, you are both witness and participant in a never-ending tale, where each step you take etches a new chapter in the ever-sprawling epic of what it means to dream.",long,high,mixed,2nd,present
humanities,process_explanation,plain,Grade8,Making a Collage,"Making a collage is a fun and creative way to express yourself. First, gather old magazines, newspapers, colored paper, and photos you want to include in your collage. Next, select a large piece of paper or cardboard as your base. Think about a theme or story you want your collage to tell. This could be anything, from your favorite animals to a dream vacation. Once you have your theme, start cutting out images, words, and patterns that fit. You can create shapes or just cut freely. Lay the pieces out on your base without gluing them first. This lets you move things around and see how they look together. When you’re happy with the arrangement, start gluing each piece carefully. Press them down to make sure they stick. Let your collage dry, and then hang it up to show off your artwork. Collaging is a great way to relax and let your imagination run wild.",short,low,concrete,1st,present
humanities,persuasive,formal,Grade12,The Importance of Art Education,"Art education plays an essential role in fostering creativity, critical thinking, and emotional development in students, cultivating skills that are indispensable across all areas of life. These programs provide an environment for individuals to explore their imagination and engage in innovative problem-solving, which are vital in navigating our rapidly changing world. Supporting art education is not merely about nurturing potential artists; it is about cultivating thinkers and innovators who can contribute to society in various capacities. In classrooms where art education flourishes, students develop not only a heightened awareness of aesthetics but also an enhanced understanding of cultural diversity and historical contexts. Engaging with art enables learners to access emotions and viewpoints, fostering empathy and communication. Moreover, art serves as a powerful vehicle for self-expression, helping students articulate identities and communicate complex ideas succinctly. Therefore, investing in art education is investing in future generations equipped to address complex social and cultural challenges.",mixed,medium,abstract,3rd,present
